63	70	97
75	83	112
48	58	82
56	65	92
62	73	101
66	78	106
59	71	95
61	73	97
64	75	102
67	78	105
70	82	110
71	83	111
66	77	99
66	79	101
69	81	105
72	84	108
74	85	112
74	85	112
73	85	113
72	84	112
74	88	117
73	80	100
73	77	101
71	77	100
62	73	95
63	76	98
67	79	103
71	83	107
74	85	112
76	87	114
75	87	115
75	87	115
77	91	120
70	75	100
66	73	98
67	77	101
66	78	102
69	81	105
72	84	108
76	87	114
80	91	118
82	94	122
83	95	123
79	93	122
72	82	106
73	85	109
72	84	108
72	84	108
73	85	109
76	87	114
80	91	118
84	96	124
86	97	127
80	93	125
80	93	125
73	85	109
73	85	109
73	84	111
74	85	112
76	87	115
80	91	119
82	93	123
85	96	126
82	95	127
82	95	127
72	84	108
74	85	112
77	88	115
80	91	119
84	95	123
85	96	126
87	98	128
84	97	129
84	97	129
81	92	120
86	97	125
89	100	128
91	102	130
90	101	131
89	100	132
83	95	129
82	94	128
83	94	122
88	99	127
91	102	130
92	102	132
91	102	134
91	102	134
85	97	131
83	95	129
81	93	129
91	102	130
94	104	134
95	105	135
94	105	137
93	104	136
88	100	134
86	98	132
83	95	131
97	107	137
97	107	137
96	107	139
96	107	139
92	104	138
89	101	137
85	96	134
100	110	140
98	109	141
98	108	142
94	106	142
91	103	139
87	98	136
83	94	132
99	109	143
99	109	143
96	108	144
93	105	141
88	99	137
84	95	133
99	109	143
97	109	145
93	105	141
88	99	137
84	95	133
100	110	144
97	109	145
93	105	141
89	101	137
85	96	134
82	95	133
94	106	140
92	104	138
90	102	136
89	101	137
86	100	136
93	105	139
91	103	137
89	101	135
86	101	134
91	103	137
89	101	135
87	102	135
87	102	135
89	101	135
87	102	135
87	102	135
86	101	134
86	101	134
84	99	132
84	99	132
85	100	133
83	97	133
84	98	134
83	97	133
37	44	59
40	47	62
37	41	59
36	41	56
31	38	53
27	34	49
22	30	43
33	40	60
34	40	59
33	37	55
29	33	51
24	29	44
17	24	39
14	22	35
32	39	59
33	40	60
32	39	59
31	37	56
27	34	51
21	28	45
16	23	38
13	20	35
13	21	34
28	35	55
28	35	55
31	38	58
32	39	59
32	39	59
30	36	55
28	34	53
24	30	49
21	29	46
23	30	47
26	33	48
31	39	52
35	42	62
30	37	57
31	36	57
33	38	59
35	40	61
35	40	61
36	43	63
36	43	63
35	42	62
34	44	62
38	46	63
40	49	63
43	52	65
37	42	63
39	44	65
40	45	66
40	45	66
47	54	74
46	55	75
46	55	75
47	56	76
47	57	75
48	58	75
50	59	73
47	52	73
56	62	85
54	62	85
54	62	85
52	63	83
52	64	82
53	66	82
55	66	80
55	66	88
55	66	88
56	67	87
59	71	89
64	74	91
